Year,Mo,Dy,Hr,Mn,Sec,Val,Tsunami Cause Code,Tsu SRC,mag,Volcano,Tsu Runup,Doubtful Runup,Country,State,Name,lat,long,Distance from Source,Arrival Day,Arrival Hour,Arrival Min,Travel Hour,Travel Min,Max Water Height,Max Inundation Distance,Type,Per,1st Mtn,Num Deaths,Inf Deaths,Num Injuries,Inf Injuries,Mill Damage,Inf Damage,Num House Destroyed,Inf House Destroyed,Num House Damaged,Inf House Damaged,gid,timestamp,timestamp2
1951.0,10.0,22.0,5.0,43.0,1.0,4.0,1.0,*,7.3,,*,,CANADA,BC,"TOFINO (CLAYOQUOT),BRITISH COLUMBIA",49.153,-125.913,9517.0,22.0,21.0,45.0,,,0.04,,2.0,18.0,R,,,,,,,,,,,12,1951-10-22,1951-10-22
1951.0,10.0,22.0,5.0,43.0,1.0,4.0,1.0,*,7.3,,*,,TAIWAN,,HUALIEN,23.97,121.613,21.0,,,,,,0.3,,2.0,,,,,,,,,,,,,12,1951-10-22,1951-10-22
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,CANADA,BC,"TOFINO (CLAYOQUOT),BRITISH COLUMBIA",49.153,-125.913,6632.0,4.0,11.0,50.0,10.0,27.0,0.06,,2.0,25.0,F,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,ECUADOR,SANTA ELENA,LA LIBERTAD,-2.23,-80.9,13739.0,,,,,,0.1,,2.0,22.0,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,AOMORI,AOMORI,40.833,140.767,296.0,4.0,2.0,37.0,1.0,15.0,0.19,,2.0,30.0,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,AOMORI,FURUKAWA,40.8211,140.741,298.0,,,,,,,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,AOMORI,HACHINOHE,40.533,141.533,264.0,4.0,2.0,10.0,0.0,47.0,1.0,,2.0,50.0,R,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,AOMORI,HACHINOHE,40.533,141.533,264.0,4.0,2.0,10.0,0.0,47.0,1.9,,1.0,,,,,,,,1.0,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,AOMORI,HASHIKAMI,40.4525,141.62111000000002,265.0,,,,,,,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,AOMORI,KANAHAMA,38.72,141.52,429.0,,,,1.0,7.0,2.5,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,AOMORI,KAWAGUCHI,40.6,141.467,263.0,,,,,,1.5,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,AOMORI,KOFUNATO,40.45,141.683,262.0,4.0,2.0,10.0,0.0,47.0,,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,AOMORI,MABUCHIGAWAKAKO,40.533,141.5,266.0,,,,,,1.5,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,AOMORI,MOMOISHI,40.58,141.43,267.0,,,,,,,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,AOMORI,NIIDA,40.8333,140.73,298.0,,,,,,0.3,,1.0,,,,,,,,1.0,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,AOMORI,NIKAWAME,,,,,,,,,,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,AOMORI,OKUKI,40.483,141.633,262.0,,,,,,0.9,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,AOMORI,SAMEKO,40.533,141.55,263.0,,,,,,2.0,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,AOMORI,TANESASHI,40.5,141.617,262.0,4.0,1.0,45.0,0.0,22.0,0.7,,1.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,CHIBA,CHOSHI,35.75,140.867,757.0,4.0,2.0,32.0,1.0,10.0,0.08,,2.0,55.0,R,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,CHIBA,MERA,34.9189,139.825,877.0,4.0,3.0,7.0,1.0,45.0,0.09,,2.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,EHIME,UWAJIMA,33.233,132.55,1402.0,,,,,,0.08,,2.0,,,,,,,,,,,,,13,1952-03-04,1952-03-04
1952.0,3.0,4.0,1.0,22.0,41.0,4.0,1.0,*,8.1,,*,,JAPAN,FUKUSHIMA,ONAHAMA,36.933,140.9,633.0,,,,1.0,20.0,0.1,,2.0,25.0,R,,,,,,,,,,,13,1952-03-04,1952-03-04
