time,latitude,longitude,depth,mag,place,type,Year,Mo,Dy,Date,timestamp,Hr,Mn,Sec,Val,Tsunami Cause Code,Focal Depth (km),Vol,Deposits,Country,Area,Region,Location Name,lat,long,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Missing,Injuries,Damage ($Mil),_merge,gid,Max Distance,timestamp2
,,,,6.8,,,1962.0,3.0,12.0,,1962-03-12,11.0,40.0,16.7,3.0,1.0,35.0,,0.0,PANAMA,,88.0,COSTA RICA-PANAMA,8.008,-82.757,0.1,2.0,,-3.3,,,,,,right_only,58,1249.0,1962-03-12
,,,,7.2,,,1962.0,4.0,12.0,,1962-04-12,0.0,52.0,43.0,4.0,1.0,25.0,,0.0,JAPAN,,85.0,SANRIKU,38.073,142.741,1.0,12.0,,,-2.0,,,,,right_only,59,307.0,1962-04-12
,,,,7.0,,,1962.0,4.0,23.0,,1962-04-23,5.0,58.0,0.0,4.0,1.0,60.0,,0.0,JAPAN,,85.0,SE. HOKKAIDO ISLAND,42.2,143.9,0.1,10.0,,-3.3,-3.5,,,,,right_only,60,326.0,1962-04-23
,,,,7.0,,,1962.0,5.0,11.0,,1962-05-11,14.0,11.0,54.1,4.0,1.0,40.0,,0.0,MEXICO,,88.0,S. MEXICO,17.2,-99.6,0.81,1.0,,-0.3,0.0,,,,,right_only,61,53.0,1962-05-11
,,,,7.2,,,1962.0,5.0,19.0,,1962-05-19,14.0,58.0,15.0,3.0,1.0,33.0,,0.0,MEXICO,,88.0,S. MEXICO,17.2,-99.5,0.34,1.0,,,,,,,,right_only,62,60.0,1962-05-19
,,,,5.7,,,1962.0,5.0,21.0,,1962-05-21,12.0,21.0,,2.0,1.0,60.0,,0.0,JAPAN,,85.0,OFF COAST OF HONSHU ISLAND,41.8,142.4,0.1,1.0,,,-2.0,,,,,right_only,62,,1962-05-21
,,,,7.3,,,1963.0,2.0,13.0,,1963-02-13,8.0,50.0,4.5,4.0,1.0,47.0,,0.0,TAIWAN,,84.0,E. TAIWAN-RYUKYU ISLANDS,24.4,122.1,0.2,2.0,,-2.3,-2.0,,,,,right_only,63,8466.0,1963-02-13
,,,,7.1,,,1963.0,10.0,12.0,,1963-10-12,11.0,27.0,0.2,4.0,1.0,48.0,,0.0,RUSSIA,,86.0,S. KURIL ISLANDS,44.426,149.27200000000002,0.12,3.0,,-3.3,-2.0,,,,,right_only,64,648.0,1963-10-12
,,,,8.5,,,1963.0,10.0,13.0,,1963-10-13,5.0,17.0,53.4,4.0,1.0,13.0,,0.0,RUSSIA,,86.0,S. KURIL ISLANDS,44.772,149.798,4.5,90.0,,2.3,2.5,,,,,right_only,65,10598.0,1963-10-13
,,,,7.9,,,1963.0,10.0,20.0,,1963-10-20,0.0,53.0,10.9,4.0,1.0,28.0,,0.0,RUSSIA,,86.0,S. KURIL ISLANDS,44.772,150.563,15.0,22.0,,3.9,3.0,,,,,right_only,66,9211.0,1963-10-20
,,,,6.6,,,1963.0,12.0,16.0,,1963-12-16,1.0,51.0,31.0,2.0,1.0,64.0,,0.0,INDONESIA,,60.0,JAVA,-6.4,105.4,,1.0,,-0.5,0.0,,,,,right_only,67,46.0,1963-12-16
,,,,7.2,,,1963.0,12.0,18.0,,1963-12-18,0.0,30.0,0.0,2.0,1.0,46.0,,0.0,TONGA,,81.0,TONGA TRENCH,-24.8,-176.6,,1.0,,,0.5,,,,,right_only,68,2913.0,1963-12-18
,,,,9.2,,,1964.0,3.0,28.0,,1964-03-28,3.0,36.0,14.0,4.0,3.0,33.0,,19.0,USA,AK,87.0,"PRINCE WILLIAM SOUND, AK",61.016999999999996,-147.648,51.8,425.0,,6.1,3.5,124.0,,,116.0,right_only,69,15759.0,1964-03-28
